,Unnamed: 0.1,Unnamed: 0,Time,Index,Battery,Mag_X[uT],Mag_Y[uT],Mag_Z[uT],Acc_X[G],Acc_Y[G],Acc_Z[G],UV INDEX,AmbientLight[Lx],Humidity[%RH],Temperature[degC],Pressure[hPa],timestamp,activity
0,66,66,2023/06/19 15:55:17.930,131,3.05,2.2,36.9,64.2,-0.246,-0.047,-1.013,0.1,209.7,68.53,23.72,991.78,1687157717,other
1,67,67,2023/06/19 15:55:18.930,132,3.05,2.6,36.9,65.3,-0.245,-0.047,-1.013,0.1,210.9,68.49,23.7,991.78,1687157718,other
2,68,68,2023/06/19 15:55:19.930,133,3.05,3.3,35.8,63.8,-0.245,-0.048,-1.013,0.6,211.9,68.45,23.66,991.75,1687157719,other
3,69,69,2023/06/19 15:55:20.930,134,3.05,3.3,36.5,66.8,-0.245,-0.047,-1.013,0.0,210.4,68.51,23.72,991.7,1687157720,other
4,70,70,2023/06/19 15:55:21.930,135,3.05,2.9,38.0,61.9,-0.245,-0.047,-1.014,0.3,212.9,68.52,23.72,991.75,1687157721,other
5,71,71,2023/06/19 15:55:22.930,136,3.05,3.7,38.8,64.6,-0.246,-0.048,-1.013,0.1,212.8,68.51,23.72,991.75,1687157722,other
6,72,72,2023/06/19 15:55:23.930,137,3.05,3.7,37.6,60.8,-0.246,-0.048,-1.014,0.4,212.1,68.47,23.68,991.75,1687157723,other
7,73,73,2023/06/19 15:55:24.930,138,3.05,2.9,36.9,65.3,-0.245,-0.048,-1.013,0.6,209.5,68.52,23.74,991.75,1687157724,other
8,74,74,2023/06/19 15:55:25.930,139,3.05,4.8,37.6,63.4,-0.246,-0.047,-1.014,1.1,210.2,68.56,23.72,991.73,1687157725,other
9,75,75,2023/06/19 15:55:26.930,140,3.05,4.8,37.2,63.1,-0.245,-0.048,-1.013,0.5,209.7,68.48,23.66,991.73,1687157726,other
10,76,76,2023/06/19 15:55:27.930,141,3.05,3.3,38.0,63.1,-0.245,-0.047,-1.013,0.1,210.0,68.52,23.72,991.75,1687157727,other
11,77,77,2023/06/19 15:55:28.930,142,3.05,4.8,37.2,62.7,-0.245,-0.048,-1.013,0.2,212.0,68.49,23.65,991.73,1687157728,other
12,78,78,2023/06/19 15:55:29.930,143,3.05,5.2,36.9,60.8,-0.246,-0.048,-1.014,0.3,213.4,68.48,23.66,991.73,1687157729,other
13,79,79,2023/06/19 15:55:30.930,144,3.05,4.1,37.6,65.7,-0.246,-0.048,-1.013,0.4,213.0,68.54,23.72,991.73,1687157730,other
14,80,80,2023/06/19 15:55:31.930,145,3.05,3.3,35.8,63.8,-0.245,-0.048,-1.014,0.2,209.9,68.53,23.72,991.73,1687157731,other
15,81,81,2023/06/19 15:55:32.930,146,3.05,3.7,37.2,64.9,-0.246,-0.048,-1.014,0.1,209.1,68.55,23.74,991.64,1687157732,other
16,82,82,2023/06/19 15:55:33.930,147,3.05,3.7,38.0,61.9,-0.246,-0.047,-1.014,0.1,212.0,68.5,23.68,991.75,1687157733,other
17,83,83,2023/06/19 15:55:34.930,148,3.05,2.6,36.9,63.8,-0.245,-0.048,-1.014,0.2,213.0,68.53,23.72,991.73,1687157734,other
18,84,84,2023/06/19 15:55:35.930,149,3.05,5.6,38.0,62.7,-0.245,-0.047,-1.014,0.1,210.6,68.56,23.68,991.81,1687157735,cooking
19,85,85,2023/06/19 15:55:36.930,150,3.05,2.2,37.6,64.9,-0.246,-0.048,-1.014,0.4,212.0,68.56,23.72,991.67,1687157736,cooking
20,86,86,2023/06/19 15:55:37.930,151,3.05,2.9,36.5,61.6,-0.245,-0.048,-1.013,0.2,210.9,68.49,23.68,991.78,1687157737,cooking
21,87,87,2023/06/19 15:55:38.930,152,3.05,3.3,38.0,65.3,-0.246,-0.047,-1.014,0.4,209.8,68.58,23.72,991.73,1687157738,cooking
22,88,88,2023/06/19 15:55:39.930,153,3.05,3.7,36.9,63.1,-0.246,-0.047,-1.013,0.0,209.6,68.51,23.68,991.75,1687157739,cooking
23,89,89,2023/06/19 15:55:40.930,154,3.05,3.7,37.2,63.1,-0.246,-0.048,-1.014,0.0,210.7,68.5,23.74,991.73,1687157740,cooking
24,90,90,2023/06/19 15:55:41.930,155,3.05,4.8,36.9,65.7,-0.245,-0.048,-1.013,0.5,209.6,68.56,23.68,991.78,1687157741,cooking
25,91,91,2023/06/19 15:55:42.930,156,3.05,2.9,37.6,65.3,-0.245,-0.048,-1.014,0.1,208.4,68.56,23.66,991.73,1687157742,cooking
26,92,92,2023/06/19 15:55:43.930,157,3.05,2.9,37.2,64.6,-0.246,-0.047,-1.014,0.3,212.7,68.52,23.63,991.75,1687157743,cooking
27,93,93,2023/06/19 15:55:44.930,158,3.05,3.3,36.5,63.4,-0.245,-0.048,-1.013,0.2,211.9,68.57,23.68,991.7,1687157744,cooking
28,94,94,2023/06/19 15:55:45.930,159,3.05,2.6,38.0,63.8,-0.245,-0.048,-1.014,0.2,210.2,68.58,23.68,991.81,1687157745,cooking
29,95,95,2023/06/19 15:55:46.930,160,3.05,4.1,38.4,63.4,-0.245,-0.048,-1.013,0.0,210.5,68.57,23.7,991.75,1687157746,cooking
30,96,96,2023/06/19 15:55:47.930,161,3.05,4.1,37.2,63.8,-0.245,-0.048,-1.014,0.1,210.3,68.57,23.66,991.75,1687157747,cooking
