Time,Index,Battery,Mag_X[uT],Mag_Y[uT],Mag_Z[uT],Acc_X[G],Acc_Y[G],Acc_Z[G],UV INDEX,AmbientLight[Lx],Humidity[%RH],Temperature[degC],Pressure[hPa]
2023/06/19 18:18:42.757,73,2.94,-19.8,37.2,-12.8,0.076,0.972,-0.029,0.2,17.1,68.14,24.56,992.73
2023/06/19 18:18:43.757,74,2.94,-17.2,36.5,-10.6,0.075,0.973,-0.029,0.2,19.2,68.11,24.51,992.73
2023/06/19 18:18:44.757,75,2.94,-18.3,37.9,-13.6,0.076,0.973,-0.028,0.2,17.9,68.15,24.49,992.70
2023/06/19 18:18:45.757,76,2.94,-19.0,37.6,-16.9,0.075,0.972,-0.029,0.4,17.7,68.17,24.52,992.70
2023/06/19 18:18:46.757,77,2.94,-17.6,38.3,-15.1,0.075,0.973,-0.029,0.2,17.9,68.17,24.56,992.76
2023/06/19 18:18:47.757,78,2.94,-16.8,37.9,-12.8,0.076,0.973,-0.028,0.0,19.5,68.15,24.52,992.73
2023/06/19 18:18:48.757,79,2.94,-17.6,40.1,-11.7,0.076,0.972,-0.029,0.4,16.3,68.10,24.52,992.73
2023/06/19 18:18:49.757,80,2.94,-16.8,36.5,-13.9,0.075,0.972,-0.030,0.0,19.5,68.11,24.56,992.76
2023/06/19 18:18:50.757,81,2.94,-17.9,37.6,-15.8,0.076,0.972,-0.029,0.3,19.7,68.09,24.52,992.73
2023/06/19 18:18:51.757,82,2.94,-18.6,38.7,-13.9,0.075,0.973,-0.029,0.1,18.2,68.06,24.54,992.70
2023/06/19 18:18:52.757,83,2.94,-17.2,38.3,-11.3,0.076,0.973,-0.030,0.0,18.2,68.13,24.54,992.70
2023/06/19 18:18:53.757,84,2.94,-18.3,39.4,-13.2,0.075,0.972,-0.029,0.0,17.2,68.02,24.51,992.65
2023/06/19 18:18:54.757,85,2.94,-16.8,37.9,-14.7,0.076,0.973,-0.029,0.6,19.8,68.12,24.47,992.73
2023/06/19 18:18:55.757,86,2.94,-18.6,37.6,-13.2,0.075,0.972,-0.030,0.2,15.3,68.13,24.51,992.76
2023/06/19 18:18:56.757,87,2.94,-19.0,39.0,-11.3,0.075,0.972,-0.029,0.0,18.9,68.10,24.56,992.78
2023/06/19 18:18:57.757,88,2.94,-18.6,36.8,-13.9,0.076,0.973,-0.030,0.1,21.1,68.13,24.56,992.81
2023/06/19 18:18:58.757,89,2.94,-17.9,38.3,-12.4,0.077,0.972,-0.028,0.2,17.9,68.17,24.56,992.76
2023/06/19 18:18:59.757,90,2.94,-17.2,38.7,-12.8,0.076,0.973,-0.029,0.0,20.7,68.15,24.54,992.76
2023/06/19 18:19:00.757,91,2.94,-17.6,37.9,-11.7,0.076,0.972,-0.029,0.1,19.1,68.14,24.56,992.81
2023/06/19 18:19:01.757,92,2.94,-17.9,39.4,-13.9,0.076,0.973,-0.029,0.4,19.1,68.18,24.54,992.73
2023/06/19 18:19:02.757,93,2.94,-18.6,37.6,-10.6,0.076,0.973,-0.029,0.2,21.1,68.13,24.49,992.70
2023/06/19 18:19:03.757,94,2.94,-17.9,37.2,-13.6,0.076,0.972,-0.029,0.0,18.8,68.16,24.52,992.76
2023/06/19 18:19:04.757,95,2.94,-18.3,38.7,-15.1,0.076,0.973,-0.028,0.3,19.2,68.12,24.51,992.73
2023/06/19 18:19:05.757,96,2.94,-17.2,37.9,-14.3,0.076,0.973,-0.029,0.5,17.1,68.14,24.56,992.76
2023/06/19 18:19:06.757,97,2.94,-17.6,38.3,-13.2,0.076,0.972,-0.029,0.0,19.7,68.10,24.52,992.76
2023/06/19 18:19:07.757,98,2.94,-17.9,36.5,-15.1,0.076,0.973,-0.029,0.1,18.7,68.09,24.54,992.78
2023/06/19 18:19:08.757,99,2.94,-17.9,37.2,-13.2,0.076,0.972,-0.030,0.1,16.1,68.08,24.52,992.78
2023/06/19 18:19:09.757,100,2.94,-18.6,37.2,-12.1,0.076,0.972,-0.030,0.4,19.5,68.13,24.56,992.78
2023/06/19 18:19:10.757,101,2.94,-18.3,37.9,-11.3,0.076,0.973,-0.029,0.6,17.1,68.09,24.54,992.78
2023/06/19 18:19:11.757,102,2.94,-18.3,37.6,-13.6,0.076,0.972,-0.030,0.1,17.4,68.11,24.54,992.81
2023/06/19 18:19:12.757,103,2.94,-16.4,37.9,-12.4,0.075,0.973,-0.030,0.2,15.2,68.15,24.52,992.76
2023/06/19 18:19:13.757,104,2.94,-19.0,37.9,-12.4,0.076,0.973,-0.028,0.2,17.4,68.12,24.54,992.76
2023/06/19 18:19:14.757,105,2.94,-17.6,37.2,-13.2,0.076,0.972,-0.029,0.4,16.8,68.14,24.52,992.78
2023/06/19 18:19:15.757,106,2.94,-18.3,38.7,-15.8,0.076,0.972,-0.029,0.2,18.3,68.17,24.56,992.76
2023/06/19 18:19:16.757,107,2.94,-18.3,38.3,-14.7,0.075,0.972,-0.029,0.4,18.4,68.12,24.56,992.76
2023/06/19 18:19:17.757,108,2.94,-18.6,37.6,-13.6,0.076,0.973,-0.029,0.0,19.1,68.17,24.52,992.73
2023/06/19 18:19:18.757,109,2.94,-18.6,37.6,-11.7,0.076,0.973,-0.029,0.5,16.0,68.21,24.58,992.78
2023/06/19 18:19:19.757,110,2.94,-17.6,36.5,-14.7,0.076,0.973,-0.029,0.4,17.1,68.16,24.58,992.81
2023/06/19 18:19:20.757,111,2.94,-17.6,38.7,-13.6,0.075,0.973,-0.030,0.1,19.9,68.13,24.54,992.81
2023/06/19 18:19:21.757,112,2.94,-17.2,36.5,-12.1,0.076,0.973,-0.029,0.0,19.0,68.14,24.56,992.76
2023/06/19 18:19:22.757,113,2.94,-19.0,38.3,-11.3,0.076,0.973,-0.029,0.1,20.2,68.18,24.54,992.76
2023/06/19 18:19:23.757,114,2.94,-18.3,37.2,-11.7,0.076,0.973,-0.029,0.3,18.4,68.16,24.54,992.76
2023/06/19 18:19:24.757,115,2.94,-16.8,38.7,-14.3,0.077,0.973,-0.029,0.4,21.0,68.07,24.54,992.67
2023/06/19 18:19:25.757,116,2.94,-19.0,37.9,-12.8,0.075,0.972,-0.030,0.1,18.9,68.17,24.58,992.76
2023/06/19 18:19:26.757,117,2.94,-18.6,37.9,-11.7,0.076,0.973,-0.029,0.0,20.2,68.16,24.60,992.81
2023/06/19 18:19:27.757,118,2.94,-17.9,37.2,-16.6,0.076,0.972,-0.030,0.1,17.9,68.14,24.54,992.73
2023/06/19 18:19:28.757,119,2.94,-18.6,39.8,-13.9,0.076,0.973,-0.029,0.0,21.2,68.20,24.58,992.81
2023/06/19 18:19:29.757,120,2.94,-18.6,37.6,-12.8,0.076,0.972,-0.029,0.0,22.0,68.08,24.52,992.81
2023/06/19 18:19:30.757,121,2.94,-20.5,36.5,-10.9,0.076,0.972,-0.030,0.3,20.6,68.13,24.52,992.76
2023/06/19 18:19:31.757,122,2.94,-17.6,39.0,-14.3,0.075,0.972,-0.030,0.0,18.5,68.12,24.56,992.81
2023/06/19 18:19:32.757,123,2.94,-17.9,37.2,-10.1,0.076,0.972,-0.029,0.0,18.5,68.15,24.52,992.76
2023/06/19 18:19:33.757,124,2.94,-18.3,38.7,-14.7,0.076,0.972,-0.029,0.0,16.5,68.17,24.54,992.81
2023/06/19 18:19:34.758,125,2.94,-17.9,39.4,-13.9,0.075,0.972,-0.030,0.2,18.5,68.14,24.56,992.76
2023/06/19 18:19:35.757,126,2.94,-18.6,39.0,-15.4,0.075,0.972,-0.029,0.2,18.6,68.12,24.58,992.76
2023/06/19 18:19:36.757,127,2.94,-18.3,38.3,-11.7,0.075,0.973,-0.030,0.2,15.3,68.10,24.58,992.76
2023/06/19 18:19:37.757,128,2.94,-16.4,39.0,-12.4,0.075,0.973,-0.029,0.1,19.4,68.16,24.56,992.76
2023/06/19 18:19:38.757,129,2.94,-17.9,38.7,-10.9,0.076,0.972,-0.029,0.4,19.4,68.19,24.58,992.81
2023/06/19 18:19:39.757,130,2.94,-16.8,38.3,-12.8,0.076,0.973,-0.030,0.1,21.1,68.13,24.56,992.78
2023/06/19 18:19:40.757,131,2.94,-17.9,37.9,-12.8,0.076,0.973,-0.030,0.6,19.1,68.14,24.54,992.86
2023/06/19 18:19:41.757,132,2.94,-17.6,38.3,-14.3,0.076,0.973,-0.029,0.0,18.0,68.12,24.52,992.76
2023/06/19 18:19:42.757,133,2.94,-17.9,39.0,-12.4,0.076,0.972,-0.029,0.1,20.3,68.13,24.52,992.76
2023/06/19 18:19:43.757,134,2.94,-19.0,37.6,-10.9,0.076,0.972,-0.029,0.1,16.9,68.14,24.56,992.76
2023/06/19 18:19:44.757,135,2.94,-19.4,38.3,-12.1,0.076,0.972,-0.030,0.2,18.3,68.20,24.54,992.81
2023/06/19 18:19:45.757,136,2.94,-17.2,38.3,-13.9,0.076,0.973,-0.029,0.0,18.5,68.07,24.58,992.76
2023/06/19 18:19:46.757,137,2.94,-18.3,38.7,-13.9,0.075,0.972,-0.029,0.0,15.3,68.15,24.54,992.60
2023/06/19 18:19:47.757,138,2.94,-17.6,37.6,-11.7,0.075,0.972,-0.030,0.2,21.5,68.13,24.54,992.78
2023/06/19 18:19:48.757,139,2.94,-18.6,37.9,-13.6,0.076,0.972,-0.025,0.1,16.5,68.23,24.56,992.81
2023/06/19 18:19:49.757,140,2.94,-17.2,37.9,-12.8,0.076,0.973,-0.030,0.2,17.5,68.13,24.54,992.76
2023/06/19 18:19:50.757,141,2.94,-17.2,39.0,-9.4,0.076,0.973,-0.029,0.5,18.2,68.20,24.54,992.78
2023/06/19 18:19:51.757,142,2.94,-18.6,39.0,-12.4,0.076,0.973,-0.029,0.3,21.5,68.14,24.52,992.76
2023/06/19 18:19:52.757,143,2.94,-18.3,36.8,-11.7,0.075,0.972,-0.029,0.6,19.4,68.17,24.52,992.83
2023/06/19 18:19:53.757,144,2.94,-18.6,37.6,-13.6,0.076,0.973,-0.029,0.3,19.7,68.13,24.51,992.70
2023/06/19 18:19:54.757,145,2.94,-19.8,37.6,-14.3,0.076,0.972,-0.029,0.4,18.3,68.11,24.51,992.81
2023/06/19 18:19:55.757,146,2.94,-19.4,39.0,-12.1,0.076,0.972,-0.029,0.1,20.1,68.17,24.54,992.76
2023/06/19 18:19:56.757,147,2.94,-17.9,39.1,-13.9,0.076,0.972,-0.029,0.3,10.0,68.19,24.56,992.76
2023/06/19 18:19:57.757,148,2.94,-19.0,37.6,-13.2,0.075,0.972,-0.030,0.2,13.9,68.14,24.51,992.65
2023/06/19 18:19:58.757,149,2.94,-17.6,37.9,-12.1,0.076,0.973,-0.030,0.0,17.9,68.15,24.58,992.70
2023/06/19 18:19:59.757,150,2.94,-17.6,37.6,-15.1,0.075,0.973,-0.030,0.0,23.6,68.18,24.56,992.73
2023/06/19 18:20:00.757,151,2.94,-17.6,37.6,-10.9,0.076,0.973,-0.029,0.1,15.9,68.13,24.54,992.76
2023/06/19 18:20:01.757,152,2.94,-17.6,39.4,-12.4,0.076,0.972,-0.029,0.1,19.5,68.16,24.54,992.70
2023/06/19 18:20:02.757,153,2.94,-18.3,38.7,-11.3,0.075,0.972,-0.030,0.1,19.0,68.13,24.58,992.78
2023/06/19 18:20:03.757,154,2.94,-19.8,38.3,-14.3,0.076,0.972,-0.029,0.2,20.1,68.15,24.54,992.70
2023/06/19 18:20:04.757,155,2.94,-19.4,39.0,-12.1,0.075,0.973,-0.029,0.2,17.0,68.16,24.58,992.70
2023/06/19 18:20:05.757,156,2.94,-17.6,37.6,-12.4,0.076,0.973,-0.029,0.0,20.6,68.16,24.54,992.76
2023/06/19 18:20:06.757,157,2.94,-18.6,39.4,-13.6,0.076,0.973,-0.029,0.4,20.1,68.12,24.56,992.73
2023/06/19 18:20:07.757,158,2.94,-16.1,35.8,-10.9,0.075,0.972,-0.029,0.1,19.7,68.12,24.54,992.78
2023/06/19 18:20:08.757,159,2.94,-18.6,36.8,-12.8,0.076,0.973,-0.028,0.1,21.1,68.17,24.56,992.73
2023/06/19 18:20:09.757,160,2.94,-17.6,37.9,-10.9,0.076,0.972,-0.029,0.0,19.1,68.16,24.56,992.70
2023/06/19 18:20:10.757,161,2.94,-19.0,36.1,-13.2,0.076,0.972,-0.029,0.1,20.5,68.14,24.52,992.70
2023/06/19 18:20:11.757,162,2.94,-19.0,37.6,-10.6,0.075,0.973,-0.029,0.1,18.8,68.20,24.56,992.73
2023/06/19 18:20:12.757,163,2.94,-17.9,36.5,-15.1,0.076,0.973,-0.029,0.1,20.5,68.10,24.58,992.70
2023/06/19 18:20:13.757,164,2.94,-19.0,38.7,-12.4,0.075,0.972,-0.030,0.0,20.2,68.12,24.56,992.70
2023/06/19 18:20:14.757,165,2.94,-19.4,38.3,-10.9,0.076,0.974,-0.028,0.0,19.2,68.20,24.56,992.73
2023/06/19 18:20:15.757,166,2.94,-16.4,37.2,-12.4,0.075,0.972,-0.029,0.2,20.1,68.14,24.54,992.78
2023/06/19 18:20:16.757,167,2.94,-17.9,37.6,-10.9,0.076,0.972,-0.030,0.6,19.9,68.12,24.52,992.76
2023/06/19 18:20:17.757,168,2.94,-17.6,38.3,-13.2,0.076,0.973,-0.029,0.1,21.0,68.13,24.54,992.78
2023/06/19 18:20:18.757,169,2.94,-18.6,37.6,-12.8,0.075,0.972,-0.029,0.1,16.0,68.17,24.51,992.81
2023/06/19 18:20:19.757,170,2.94,-17.6,36.5,-13.6,0.076,0.973,-0.029,0.1,21.4,68.14,24.52,992.76
2023/06/19 18:20:20.757,171,2.94,-17.9,36.5,-12.4,0.075,0.973,-0.029,0.2,20.7,68.20,24.58,992.76
2023/06/19 18:20:21.757,172,2.94,-17.6,37.2,-12.8,0.076,0.973,-0.029,0.2,22.0,68.19,24.58,992.83
2023/06/19 18:20:22.757,173,2.94,-17.6,39.1,-13.6,0.076,0.973,-0.029,0.2,16.6,68.15,24.58,992.76
2023/06/19 18:20:23.757,174,2.94,-19.0,39.0,-12.8,0.076,0.972,-0.029,0.3,18.2,68.18,24.52,992.70
2023/06/19 18:20:24.757,175,2.94,-17.9,39.4,-13.9,0.076,0.973,-0.028,0.1,22.5,68.17,24.56,992.78
2023/06/19 18:20:25.757,176,2.94,-18.3,37.2,-13.9,0.076,0.973,-0.029,0.0,21.2,68.12,24.52,992.73
2023/06/19 18:20:26.757,177,2.94,-18.6,38.3,-12.1,0.076,0.973,-0.029,0.1,21.3,68.11,24.51,992.76
2023/06/19 18:20:27.757,178,2.94,-17.9,37.6,-14.3,0.076,0.973,-0.029,0.0,19.2,68.15,24.54,992.78
2023/06/19 18:20:28.757,179,2.94,-17.2,37.6,-12.1,0.076,0.973,-0.031,0.1,19.1,68.17,24.56,992.68
2023/06/19 18:20:29.757,180,2.94,-17.2,36.8,-12.8,0.076,0.972,-0.029,0.1,20.2,68.18,24.56,992.70
2023/06/19 18:20:30.757,181,2.94,-18.3,37.2,-12.8,0.076,0.972,-0.029,0.2,19.7,68.17,24.54,992.78
2023/06/19 18:20:31.757,182,2.94,-17.6,39.0,-10.2,0.076,0.973,-0.029,0.2,20.6,68.15,24.58,992.76
2023/06/19 18:20:32.757,183,2.94,-16.8,37.6,-14.3,0.075,0.972,-0.028,0.4,18.6,68.15,24.54,992.73
2023/06/19 18:20:33.757,184,2.94,-19.8,37.9,-10.6,0.076,0.973,-0.030,0.0,21.1,68.09,24.54,992.83
2023/06/19 18:20:34.757,185,2.94,-18.3,36.1,-10.1,0.076,0.972,-0.029,0.0,20.1,68.13,24.56,992.68
2023/06/19 18:20:35.757,186,2.94,-18.6,38.3,-12.8,0.076,0.973,-0.029,0.0,20.3,68.07,24.56,992.78
2023/06/19 18:20:36.757,187,2.94,-19.0,37.9,-14.7,0.075,0.972,-0.029,0.6,19.1,68.09,24.56,992.73
2023/06/19 18:20:37.757,188,2.94,-17.9,39.4,-12.1,0.076,0.972,-0.030,0.1,17.0,68.12,24.56,992.70
2023/06/19 18:20:38.757,189,2.94,-19.4,37.9,-9.0,0.075,0.972,-0.029,0.1,19.4,68.11,24.54,992.76
2023/06/19 18:20:39.757,190,2.94,-17.6,36.8,-13.2,0.075,0.973,-0.029,0.1,17.3,68.15,24.54,992.73
2023/06/19 18:20:40.757,191,2.94,-17.6,37.9,-13.6,0.076,0.973,-0.029,0.2,17.0,68.15,24.58,992.78
2023/06/19 18:20:41.757,192,2.94,-18.6,37.6,-12.4,0.076,0.973,-0.030,0.1,19.7,68.11,24.56,992.73
2023/06/19 18:20:42.757,193,2.94,-18.3,36.5,-13.6,0.076,0.974,-0.029,0.6,18.2,68.17,24.58,992.70
2023/06/19 18:20:43.747,194,2.94,-17.6,38.3,-10.6,0.076,0.973,-0.031,0.3,21.0,68.14,24.58,992.70
2023/06/19 18:20:44.737,195,2.94,-16.8,37.9,-13.6,0.076,0.973,-0.030,0.0,21.1,68.08,24.54,992.68
2023/06/19 18:20:45.727,196,2.94,-19.0,36.8,-15.4,0.076,0.973,-0.029,0.1,21.5,68.12,24.58,992.70
2023/06/19 18:20:46.717,197,2.94,-17.6,39.4,-11.7,0.076,0.973,-0.028,0.4,21.7,68.09,24.56,992.78
2023/06/19 18:20:47.707,198,2.94,-17.9,36.8,-12.8,0.076,0.973,-0.029,0.5,18.2,68.16,24.56,992.73
2023/06/19 18:20:48.697,199,2.94,-16.8,36.8,-9.4,0.076,0.973,-0.029,0.0,18.9,68.14,24.54,992.73
2023/06/19 18:20:49.687,200,2.94,-18.3,39.4,-13.2,0.076,0.973,-0.030,0.0,19.7,68.12,24.54,992.76
2023/06/19 18:20:50.677,201,2.94,-19.0,39.0,-12.4,0.076,0.973,-0.030,0.1,19.4,68.14,24.56,992.73
2023/06/19 18:20:51.667,202,2.94,-17.9,36.8,-10.1,0.076,0.973,-0.028,0.0,19.9,68.11,24.56,992.73
2023/06/19 18:20:52.657,203,2.94,-19.0,38.3,-13.6,0.076,0.973,-0.029,0.1,20.6,68.06,24.56,992.70
2023/06/19 18:20:53.647,204,2.94,-18.3,38.7,-9.8,0.076,0.972,-0.029,0.4,19.0,68.15,24.58,992.73
2023/06/19 18:20:54.637,205,2.94,-17.9,38.3,-12.4,0.076,0.972,-0.029,0.1,19.1,68.11,24.58,992.73
2023/06/19 18:20:55.627,206,2.94,-18.3,39.0,-10.9,0.076,0.973,-0.030,0.2,20.4,68.10,24.60,992.73
2023/06/19 18:20:56.617,207,2.94,-17.9,38.7,-13.2,0.076,0.973,-0.029,0.0,20.0,68.18,24.54,992.73
2023/06/19 18:20:57.607,208,2.94,-17.2,37.2,-12.4,0.075,0.973,-0.029,0.1,20.6,68.15,24.58,992.70
2023/06/19 18:20:58.597,209,2.94,-17.2,37.9,-13.2,0.076,0.973,-0.029,0.2,18.6,68.11,24.56,992.70
2023/06/19 18:20:59.587,210,2.94,-17.6,37.9,-16.6,0.076,0.972,-0.029,0.2,17.8,68.14,24.56,992.76
2023/06/19 18:21:00.577,211,2.94,-18.3,38.3,-13.2,0.077,0.973,-0.029,0.1,22.4,68.20,24.56,992.76
2023/06/19 18:21:01.567,212,2.94,-18.6,37.6,-16.2,0.075,0.973,-0.029,0.2,19.8,68.13,24.54,992.73
2023/06/19 18:21:02.557,213,2.94,-17.9,36.5,-12.4,0.076,0.973,-0.029,0.5,19.7,68.07,24.56,992.76
2023/06/19 18:21:03.547,214,2.94,-17.6,38.3,-13.9,0.076,0.973,-0.029,0.4,19.7,68.08,24.52,992.78
