,window,accuracy,F-score
0,1,0.5325,0.4729
1,1,0.5325,0.4729
2,2,0.5468,0.4951
3,2,0.5468,0.4951
4,3,0.5546,0.5066
5,3,0.5546,0.5066
6,4,0.5631,0.5185
7,4,0.5631,0.5185
8,5,0.5706,0.5282
9,5,0.5706,0.5282
10,6,0.5768,0.5356
11,6,0.5768,0.5356
12,7,0.5788,0.5351
13,7,0.5788,0.5351
14,8,0.5836,0.5409
15,8,0.5836,0.5409
16,9,0.5869,0.543
17,9,0.5869,0.543
18,10,0.5922,0.5494
19,10,0.5922,0.5494
20,11,0.5932,0.55
21,11,0.5932,0.55
22,12,0.5957,0.5517
23,12,0.5957,0.5517
24,13,0.5998,0.5579
25,13,0.5998,0.5579
26,14,0.6027,0.5609
27,14,0.6027,0.5609
28,15,0.6033,0.5615
29,15,0.6033,0.5615
30,16,0.6071,0.5659
31,16,0.6071,0.5659
32,17,0.6086,0.5678
33,17,0.6086,0.5678
34,18,0.6091,0.5676
35,18,0.6091,0.5676
36,19,0.6113,0.5698
37,19,0.6113,0.5698
38,20,0.6138,0.5728
39,20,0.6138,0.5728
40,21,0.6168,0.5764
41,21,0.6168,0.5764
42,22,0.6158,0.5748
43,22,0.6158,0.5748
44,23,0.6179,0.5765
45,23,0.6179,0.5765
46,24,0.6217,0.581
47,24,0.6217,0.581
48,25,0.6232,0.5828
49,25,0.6232,0.5828
50,26,0.6245,0.5837
51,26,0.6245,0.5837
52,27,0.6269,0.5864
53,27,0.6269,0.5864
54,28,0.6291,0.589
55,28,0.6291,0.589
56,29,0.6275,0.5853
57,29,0.6275,0.5853
58,30,0.6317,0.5911
59,30,0.6317,0.5911
60,31,0.6317,0.5902
61,31,0.6317,0.5902
62,32,0.6335,0.5932
63,32,0.6335,0.5932
64,33,0.6338,0.5926
65,33,0.6338,0.5926
66,34,0.6369,0.5965
67,34,0.6369,0.5965
68,35,0.6381,0.598
69,35,0.6381,0.598
70,36,0.64,0.5997
71,36,0.64,0.5997
72,37,0.6403,0.5997
73,37,0.6403,0.5997
74,38,0.6401,0.5993
75,38,0.6401,0.5993
76,39,0.6416,0.6004
77,39,0.6416,0.6004
78,40,0.6425,0.6028
79,40,0.6425,0.6028
80,41,0.645,0.6059
81,41,0.645,0.6059
82,42,0.6435,0.6022
83,42,0.6435,0.6022
84,43,0.6449,0.6047
85,43,0.6449,0.6047
86,44,0.643,0.6021
87,44,0.643,0.6021
88,45,0.6452,0.6056
89,45,0.6452,0.6056
90,46,0.6489,0.6095
91,46,0.6489,0.6095
92,47,0.6475,0.6074
93,47,0.6475,0.6074
94,48,0.651,0.6121
95,48,0.651,0.6121
96,49,0.6495,0.6104
97,49,0.6495,0.6104
98,50,0.6514,0.6118
99,50,0.6514,0.6118
100,51,0.6548,0.6166
101,51,0.6548,0.6166
102,52,0.674,0.6387
103,52,0.674,0.6387
104,53,0.6542,0.6156
105,53,0.6542,0.6156
106,54,0.6719,0.6357
107,54,0.6719,0.6357
108,55,0.6762,0.6404
109,55,0.6762,0.6404
110,56,0.6769,0.6407
111,56,0.6769,0.6407
112,57,0.677,0.6414
113,57,0.677,0.6414
114,58,0.6774,0.6413
115,58,0.6774,0.6413
116,59,0.6804,0.6448
117,59,0.6804,0.6448
118,60,0.6785,0.6424
119,60,0.6785,0.6424
120,61,0.6805,0.6443
121,61,0.6805,0.6443
122,62,0.6795,0.642
123,62,0.6795,0.642
124,63,0.6797,0.6419
125,63,0.6797,0.6419
126,64,0.6842,0.6471
127,64,0.6842,0.6471
128,65,0.6855,0.6475
129,65,0.6855,0.6475
130,66,0.6856,0.6478
131,66,0.6856,0.6478
132,67,0.6846,0.6467
133,67,0.6846,0.6467
134,68,0.685,0.6464
135,68,0.685,0.6464
136,69,0.686,0.6474
137,69,0.686,0.6474
138,70,0.6871,0.6478
139,70,0.6871,0.6478
