,window,accuracy,F-score
0,1,0.9909,0.9905
1,1,0.9909,0.9905
2,2,0.9929,0.9927
3,2,0.9929,0.9927
4,3,0.9945,0.9943
5,3,0.9945,0.9943
6,4,0.9956,0.9955
7,4,0.9956,0.9955
8,5,0.9966,0.9965
9,5,0.9966,0.9965
10,6,0.9975,0.9974
11,6,0.9975,0.9974
12,7,0.9982,0.9981
13,7,0.9982,0.9981
14,8,0.9988,0.9988
15,8,0.9988,0.9988
16,9,0.9993,0.9993
17,9,0.9993,0.9993
18,10,0.9993,0.9993
19,10,0.9993,0.9993
20,11,0.9997,0.9997
21,11,0.9997,0.9997
22,12,1.0,1.0
23,12,1.0,1.0
24,13,0.9999,0.9999
25,13,0.9999,0.9999
26,14,1.0,1.0
27,14,1.0,1.0
28,15,1.0,1.0
29,15,1.0,1.0
30,16,1.0,1.0
31,16,1.0,1.0
32,17,1.0,1.0
33,17,1.0,1.0
34,18,1.0,1.0
35,18,1.0,1.0
36,19,1.0,1.0
37,19,1.0,1.0
38,20,1.0,1.0
39,20,1.0,1.0
40,21,1.0,1.0
41,21,1.0,1.0
42,22,1.0,1.0
43,22,1.0,1.0
44,23,1.0,1.0
45,23,1.0,1.0
46,24,1.0,1.0
47,24,1.0,1.0
48,25,1.0,1.0
49,25,1.0,1.0
50,26,1.0,1.0
51,26,1.0,1.0
52,27,1.0,1.0
53,27,1.0,1.0
54,28,1.0,1.0
55,28,1.0,1.0
56,29,1.0,1.0
57,29,1.0,1.0
58,30,1.0,1.0
59,30,1.0,1.0
60,31,1.0,1.0
61,31,1.0,1.0
62,32,1.0,1.0
63,32,1.0,1.0
64,33,1.0,1.0
65,33,1.0,1.0
66,34,1.0,1.0
67,34,1.0,1.0
68,35,1.0,1.0
69,35,1.0,1.0
70,36,1.0,1.0
71,36,1.0,1.0
72,37,1.0,1.0
73,37,1.0,1.0
74,38,1.0,1.0
75,38,1.0,1.0
76,39,1.0,1.0
77,39,1.0,1.0
78,40,1.0,1.0
79,40,1.0,1.0
80,41,1.0,1.0
81,41,1.0,1.0
82,42,1.0,1.0
83,42,1.0,1.0
84,43,1.0,1.0
85,43,1.0,1.0
86,44,1.0,1.0
87,44,1.0,1.0
88,45,1.0,1.0
89,45,1.0,1.0
90,46,1.0,1.0
91,46,1.0,1.0
92,47,1.0,1.0
93,47,1.0,1.0
94,48,1.0,1.0
95,48,1.0,1.0
96,49,1.0,1.0
97,49,1.0,1.0
98,50,1.0,1.0
99,50,1.0,1.0
100,51,1.0,1.0
101,51,1.0,1.0
102,52,1.0,1.0
103,52,1.0,1.0
104,53,1.0,1.0
105,53,1.0,1.0
106,54,1.0,1.0
107,54,1.0,1.0
108,55,1.0,1.0
109,55,1.0,1.0
110,56,1.0,1.0
111,56,1.0,1.0
112,57,1.0,1.0
113,57,1.0,1.0
114,58,1.0,1.0
115,58,1.0,1.0
116,59,1.0,1.0
117,59,1.0,1.0
118,60,1.0,1.0
119,60,1.0,1.0
120,61,1.0,1.0
121,61,1.0,1.0
122,62,1.0,1.0
123,62,1.0,1.0
124,63,1.0,1.0
125,63,1.0,1.0
126,64,1.0,1.0
127,64,1.0,1.0
128,65,1.0,1.0
129,65,1.0,1.0
130,66,1.0,1.0
131,66,1.0,1.0
132,67,1.0,1.0
133,67,1.0,1.0
134,68,1.0,1.0
135,68,1.0,1.0
136,69,1.0,1.0
137,69,1.0,1.0
138,70,1.0,1.0
139,70,1.0,1.0
